id,source_name,url,type,data_collected,date_accessed,reliability
1,DDC Official Website,https://dentaldesignpattaya.com,Official Website,Services / Technology / Team / Promotions / Contact,May 2026,High
2,DDC Contact Page,https://dentaldesignpattaya.com/contact-us/,Official Website,Phone numbers / Email / Languages / Booking channels,May 2026,High
3,DDC Fees & Offers,https://dentaldesignpattaya.com/fees-offers/,Official Website,Pricing page existence / Structure,May 2026,High
4,DDC About Us,https://dentaldesignpattaya.com/about-us/,Official Website,Clinic history / Operating years / Mission,May 2026,High
5,DDC Meet the Dentist,https://dentaldesignpattaya.com/meet-the-dentist/,Official Website,Dentist credentials / Specialties / Training,May 2026,High
6,DDC Testimonials,https://dentaldesignpattaya.com/testimonial/,Official Website,Patient testimonials / Satisfaction signals,May 2026,Medium
7,DDC Facebook Page,https://www.facebook.com/dentalclinicpattaya/,Social Media,Follower count / Post frequency / Engagement,May 2026,Medium
8,WhatClinic DDC Profile,https://www.whatclinic.com/dentists/thailand/pattaya/the-dental-design-center,Review Aggregator,ServiceScore 8.1/10 from 97 votes / 5 verified reviews / Team bios,May 2026,Medium-High
9,DentalDepartures DDC Profile,https://www.dentaldepartures.com/dentist/the-dental-design-center,Review Aggregator / Medical Tourism,Award listing / General profile,May 2026,Medium
10,TripAdvisor Negative Review,https://www.tripadvisor.com/ShowTopic-g293915-i3686-k10818006-Pattaya_Dental_Design_Center_Review-Thailand.html,Review Platform,Negative patient complaint (2017) / No clinic response found,May 2026,Medium
11,Bookimed Pattaya Dental,https://us-uk.bookimed.com/clinics/country=thailand/city=pattaya/direction=dentistry/,Medical Tourism Platform,Market positioning / Competitor context,May 2026,Medium
12,ThaiMed.co Expat Guide,https://thaimed.co/dentists-in-pattaya/,Editorial / Expat Resource,Competitor mentions / Expat preferences,May 2026,Medium
13,Pacific Prime Thailand Blog,https://www.pacificprime.co.th/blog/top-10-dental-clinics-for-expats-in-pattaya/,Editorial / Insurance,Top clinic list / Market context,May 2026,Medium
14,MyMediTravel DDC Profile,https://www.mymeditravel.com/medical-centers/thailand/pattaya/bang-lamung/the-dental-design-center,Medical Tourism Platform,General profile / Location data,May 2026,Medium
15,DentalTravelServices DDC,https://www.dentaltravelservices.com/dental-clinics/dentist/the-dental-design-center,Medical Tourism Directory,Facility details / Technology / Team,May 2026,Medium
16,DDC Google Maps,https://g.page/dentaldesigncenter,Google Maps,Location / Directions / Review listing presence,May 2026,High
17,Digital Dental Center Instagram,https://www.instagram.com/digitaldentalpattaya/,Social Media,Competitor comparison — LINE + WhatsApp channel visibility,May 2026,Medium
